gameid,ref,att
201712030LAL,"['Marat Kogut', 'Monty McCutchen', 'Haywoode Workman']",18997
201712030MIA,"['Eric Dalen', 'Courtney Kirkland', 'Mark Lindsay']",19600
201712030MIN,"['Eric Lewis', 'Leroy Richardson', 'Bill Spooner']",13172
201712030NYK,"['Mark Ayotte', 'Pat Fraher', 'Karl Lane']",19082
201712030OKC,"['Bennie Adams', 'Curtis Blair', 'Kane Fitzgerald']",18203
201712040ATL,"['Mitchell Ervin', 'Tom Washington', 'Leon Wood']",12056
201712040BOS,"['Brent Barnaky', 'Justin Van Duyne', 'Sean Wright']",18624
201712040CHI,"['Bill Kennedy', 'Karl Lane', 'Matt Myers']",21323
201712040CHO,"['Tony Brothers', 'Derrick Collins', 'Jacyn Goble']",14419
201712040DAL,"['Ken Mauer', 'Gediminas Petraitis', 'Scott Wall']",19419
201712040IND,"['Ray Acosta', 'Kevin Cutler', 'John Goble']",12018
201712040MEM,"['Curtis Blair', 'Mike Callahan', 'Gary Zielinski']",14012
201712040NOP,"['Matt Boland', 'J.T. Orr', 'Derrick Stafford']",17004
201712040PHI,"['Tony Brown', 'Rodney Mott', 'Kevin Scott']",20564
201712040SAS,"['Nick Buchert', 'Tre Maddox', 'James Williams']",18288
201712040UTA,"['Marc Davis', 'Ron Garretson', 'Ben Taylor']",17227
201712050OKC,"['J.B. DeRosa', 'Mark Lindsay', 'Bill Spooner']",18203
201712050POR,"['Brian Forte', 'Marat Kogut', 'Monty McCutchen']",19241
201712050TOR,"['Bennie Adams', 'David Guthrie', 'Leroy Richardson']",19800
201712060BOS,"['Pat Fraher', 'Kevin Scott', 'Scott Twardoski']",18624
201712060CHO,"['Nick Buchert', 'Mike Callahan', 'C.J. Washington']",19334
201712060CLE,"['Curtis Blair', 'James Capers Jr.', 'Eric Dalen']",20562
201712060IND,"['Kane Fitzgerald', 'Derek Richardson', 'Josh Tiven']",13013
201712060LAC,"['Ron Garretson', 'Haywoode Workman', 'Zach Zarba']",15951
201712060MIL,"['Mitchell Ervin', 'Derrick Stafford', 'Leon Wood']",15841
201712060NOP,"['Ray Acosta', 'Eric Lewis', 'Mark Lindsay']",15353
201712060NYK,"['Tony Brothers', 'Tony Brown', 'Dedric Taylor']",19812
201712060ORL,"['Matt Boland', 'John Goble', 'J.T. Orr']",16167
201712060SAS,"['Brent Barnaky', 'Lauren Holtkamp-Sterling', 'Rodney Mott']",18252
201712070BRK,"['Mark Ayotte', 'Ed Malloy', 'Scott Wall']",20562
201712070PHI,"['Bennie Adams', 'Kevin Cutler', 'Tom Washington']",20495
201712070PHO,"['Karl Lane', 'Haywoode Workman', 'Zach Zarba']",15925
201712070UTA,"['Brian Forte', 'Ken Mauer', 'Gary Zielinski']",18306
201712080CHO,"['John Goble', 'Tre Maddox', 'J.T. Orr']",14077
201712080DET,"['Derrick Collins', 'Monty McCutchen', 'Derek Richardson']",20491
201712080IND,"['Scott Foster', 'Scott Twardoski', 'Leon Wood']",17032
201712080MEM,"['Kane Fitzgerald', 'Tyler Ford', 'Michael Smith']",15417
201712080MIL,"['Brandon Adair', 'Mike Callahan', 'David Guthrie']",15889
201712080NOP,"['Marc Davis', 'Lauren Holtkamp-Sterling', 'Kevin Scott']",15019
201712080ORL,"['Mitchell Ervin', 'Derrick Stafford', 'Josh Tiven']",16024
201712080SAS,"['Bill Kennedy', 'Eric Lewis', 'Aaron Smith']",18418
201712090ATL,"['Marc Davis', 'Tyler Ford', 'Jason Goldenberg']",12719
201712090BRK,"['Tony Brown', 'Eric Dalen', 'Ed Malloy']",19777
201712090CHI,"['Leroy Richardson', 'Ben Taylor', 'Tom Washington']",20149
201712090CHO,"['Curtis Blair', 'Matt Boland', 'David Guthrie']",19320
201712090CLE,"['Nick Buchert', 'John Goble', 'J.T. Orr']",20562
201712090LAC,"['Rodney Mott', 'Bill Spooner', 'C.J. Washington']",15739
201712090MEM,"['James Capers Jr.', 'Marat Kogut', 'Kevin Scott']",17794
201712090MIL,"['Scott Foster', 'Jonathan Sterling', 'Scott Wall']",16675
201712090PHO,"['Brian Forte', 'Ken Mauer', 'Justin Van Duyne']",16575
201712090POR,"['Karl Lane', 'Brett Nansel', 'Zach Zarba']",19503
201712100DET,"['Kane Fitzgerald', 'Tre Maddox', 'Michael Smith']",18776
201712100IND,"['Brent Barnaky', 'Monty McCutchen', 'Dedric Taylor']",14587
201712100MIN,"['Derrick Collins', 'Gediminas Petraitis', 'Gary Zielinski']",13094
201712100NOP,"['Ron Garretson', 'Jason Goldenberg', 'Josh Tiven']",16878
201712100NYK,"['Bennie Adams', 'Nick Buchert', 'Scott Twardoski']",19189
201712100SAC,"['Kevin Cutler', 'Bill Kennedy', 'Leon Wood']",17583
201712110CHI,"['Curtis Blair', 'Scott Foster', 'Scott Wall']",19617
201712110GSW,"['James Capers Jr.', 'Kevin Cutler', 'Rodney Mott']",19596
201712110HOU,"['Eric Dalen', 'Ben Taylor', 'Tom Washington']",18055
201712110LAC,"['Karl Lane', 'Ken Mauer', 'Brett Nansel']",16658
201712110MEM,"['Marc Davis', 'J.T. Orr', 'James Williams']",14857
201712110OKC,"['Tony Brothers', 'Gediminas Petraitis', 'Leroy Richardson']",18203
201712120BRK,"['Kane Fitzgerald', 'Tre Maddox', 'Derek Richardson']",14515
201712120CLE,"['Derrick Collins', 'Brian Forte', 'Dedric Taylor']",20562
201712120DAL,"['Ed Malloy', 'Kevin Scott', 'Josh Tiven']",19874
201712120DET,"['Tony Brown', 'James Williams', 'Haywoode Workman']",15480
201712120MIN,"['Pat Fraher', 'David Guthrie', 'Scott Twardoski']",14659
201712120NYK,"['Lauren Holtkamp-Sterling', 'Courtney Kirkland', 'Zach Zarba']",19359
201712120SAC,"['Matt Boland', 'John Goble', 'Brett Nansel']",17583
201712130BOS,"['Tyler Ford', 'Derek Richardson', 'Bill Spooner']",18624
201712130CHI,"['Marc Davis', 'Mitchell Ervin', 'Brian Forte']",18102
201712130HOU,"['Bill Kennedy', 'Leon Wood', 'Gary Zielinski']",16509
201712130IND,"['Mark Ayotte', 'Mike Callahan', 'Mark Lindsay']",17923
201712130MIA,"['Curtis Blair', 'Nick Buchert', 'Derrick Stafford']",19600
201712130NOP,"['Tony Brothers', 'Gediminas Petraitis', 'Leroy Richardson']",16863
201712130ORL,"['Eric Dalen', 'Marat Kogut', 'Tom Washington']",16011
201712130PHO,"['Bennie Adams', 'James Capers Jr.', 'Jacyn Goble']",15517
201712130WAS,"['Brent Barnaky', 'Ron Garretson', 'Dedric Taylor']",15297
201712140ATL,"['Tony Brothers', 'Jonathan Sterling', 'Josh Tiven']",13548
201712140BRK,"['Derrick Collins', 'Ken Mauer', 'Michael Smith']",17732
201712140CLE,"['Tony Brown', 'Scott Foster', 'Justin Van Duyne']",20562
201712140GSW,"['Matt Boland', 'John Goble', 'C.J. Washington']",19596
201712140MIN,"['Karl Lane', 'Tre Maddox', 'Monty McCutchen']",11126
201712150BOS,"['Ray Acosta', 'Ron Garretson', 'Kevin Scott']",18624
201712150CHO,"['Mike Callahan', 'Kevin Cutler', 'Haywoode Workman']",15565
201712150DEN,"['Rodney Mott', 'Leon Wood', 'Gary Zielinski']",17584
201712150HOU,"['Nick Buchert', 'James Capers Jr.', 'Gediminas Petraitis']",18055
201712150IND,"['Lauren Holtkamp-Sterling', 'Leroy Richardson', 'Zach Zarba']",14687
201712150MEM,"['J.B. DeRosa', 'Bill Kennedy', 'Mark Lindsay']",15803
201712150MIL,"['Mark Ayotte', 'Kane Fitzgerald', 'Ben Taylor']",16921
201712150ORL,"['Pat Fraher', 'Courtney Kirkland', 'Aaron Smith']",16963
201712150PHI,"['Ed Malloy', 'Dedric Taylor', 'James Williams']",20612
201712150TOR,"['Eric Dalen', 'Randy Richardson', 'Bill Spooner']",19800
201712150WAS,"['Mitchell Ervin', 'Derrick Stafford', 'Scott Wall']",15442
201712160CHO,"['Brent Barnaky', 'Matt Myers', 'Tom Washington']",16687
201712160CLE,"['Lauren Holtkamp-Sterling', 'Marat Kogut', 'Ed Malloy']",20562
201712160HOU,"['Tyler Ford', 'John Goble', 'J.T. Orr']",18055
201712160MEM,"['Matt Boland', 'Jacyn Goble', 'Zach Zarba']",17794
201712160MIA,"['Tony Brothers', 'Brian Forte', 'Aaron Smith']",19600
201712160MIN,"['Mark Ayotte', 'Ken Mauer', 'Phenizee Ransom']",18109
201712160NYK,"['Kane Fitzgerald', 'David Guthrie', 'Justin Van Duyne']",19812
201712160SAS,"['Scott Foster', 'Jason Goldenberg', 'Mark Lindsay']",18418
201712170BRK,"['Bennie Adams', 'Marc Davis', 'Jonathan Sterling']",13934
201712170DET,"['Ray Acosta', 'Bill Spooner', 'Ben Taylor']",16312
201712170TOR,"['Tony Brown', 'J.B. DeRosa', 'Ron Garretson']",19800
201712170WAS,"['Mike Callahan', 'Kevin Cutler', 'Josh Tiven']",20356
201712180ATL,"['Tyler Ford', 'Michael Smith', 'Tom Washington']",14227
201712180CHI,"['Pat Fraher', 'Karl Lane', 'Haywoode Workman']",20796
201712180CHO,"['Jacyn Goble', 'Gediminas Petraitis', 'James Williams']",15386
201712180DAL,"['Eric Dalen', 'Kane Fitzgerald', 'J.T. Orr']",19245
201712180HOU,"['Mark Ayotte', 'Mark Lindsay', 'Rodney Mott']",18055
201712180IND,"['James Capers Jr.', 'Kevin Cutler', 'Vladimir Voyard-Tadal']",16055
201712180LAL,"['Curtis Blair', 'Bill Kennedy', 'Leon Wood']",18997
201712180MIN,"['Scott Foster', 'Leroy Richardson', 'Ben Taylor']",14187
201712180OKC,"['Matt Boland', 'Nick Buchert', 'Ken Mauer']",18203
201712180SAS,"['John Goble', 'Derek Richardson', 'Gary Zielinski']",18418
201712190MIL,"['Brent Barnaky', 'Marc Davis', 'Haywoode Workman']",18717
201712190PHI,"['Eric Lewis', 'Brett Nansel', 'Scott Wall']",20558
201712190WAS,"['Bennie Adams', 'Scott Foster', 'Jonathan Sterling']",16529
201712200ATL,"['Tony Brown', 'John Goble', 'Dedric Taylor']",14830
201712200BOS,"['Brandon Adair', 'Marc Davis', 'Marat Kogut']",18624
201712200BRK,"['Tyler Ford', 'Pat Fraher', 'Lauren Holtkamp-Sterling']",13179
201712200CHI,"['Nick Buchert', 'Gediminas Petraitis', 'James Williams']",20285
201712200CHO,"['Mitchell Ervin', 'Karl Lane', 'Derrick Stafford']",15023
201712200DAL,"['Brian Forte', 'Rodney Mott', 'Derek Richardson']",19580
201712200DEN,"['Jason Goldenberg', 'Ed Malloy', 'Josh Tiven']",17002
201712200GSW,"['Mark Ayotte', 'Kane Fitzgerald', 'Aaron Smith']",19596
201712200HOU,"['Leroy Richardson', 'Michael Smith', 'Zach Zarba']",18055
201712200LAC,"['Curtis Blair', 'Courtney Kirkland', 'Tom Washington']",17151
201712200OKC,"['Eric Dalen', 'Sean Wright', 'Gary Zielinski']",18203
201712200POR,"['Ron Garretson', 'Bill Spooner', 'Leon Wood']",19393
201712210CLE,"['Bennie Adams', 'James Capers Jr.', 'Jacyn Goble']",20562
201712210NYK,"['Brent Barnaky', 'Tyler Ford', 'Ken Mauer']",19812
201712210PHI,"['Matt Boland', 'Mike Callahan', 'Ben Taylor']",20680
201712210PHO,"['Tony Brothers', 'Tre Maddox', 'Scott Twardoski']",16339
201712210UTA,"['Kane Fitzgerald', 'Bill Kennedy', 'J.T. Orr']",18306
201712220BRK,"['Marat Kogut', 'Gediminas Petraitis', 'James Williams']",15589
201712220DET,"['Nick Buchert', 'Lauren Holtkamp-Sterling', 'Eric Lewis']",16922
201712220GSW,"['Ed Malloy', 'Josh Tiven', 'Scott Twardoski']",19596
201712220HOU,"['Scott Foster', 'Pat Fraher', 'Justin Van Duyne']",18055
201712220MIA,"['Karl Lane', 'Mark Lindsay', 'C.J. Washington']",19600
201712220MIL,"['Derrick Collins', 'Brett Nansel', 'Gary Zielinski']",17018
201712220OKC,"['Courtney Kirkland', 'Jonathan Sterling', 'Zach Zarba']",18203
201712220ORL,"['Tony Brown', 'Michael Smith', 'Haywoode Workman']",18846
201712220POR,"['Curtis Blair', 'Kevin Cutler', 'Tom Washington']",19473
201712230ATL,"['Derrick Collins', 'James Williams', 'Haywoode Workman']",13402
201712230BOS,"['Mike Callahan', 'Mitchell Ervin', 'Leroy Richardson']",18624
201712230CHO,"['Bennie Adams', 'Lauren Holtkamp-Sterling', 'Eric Lewis']",18363
201712230GSW,"['Tony Brothers', 'Ron Garretson', 'J.T. Orr']",19596
201712230IND,"['Nick Buchert', 'Ken Mauer', 'Ben Taylor']",17107
201712230LAL,"['Mark Ayotte', 'Bill Kennedy', 'Tre Maddox']",18997
201712230MEM,"['Randy Richardson', 'Scott Wall', 'Sean Wright']",16844
201712230MIA,"['Matt Boland', 'Pat Fraher', 'Dedric Taylor']",19600
201712230PHO,"['Kane Fitzgerald', 'Aaron Smith', 'Leon Wood']",16482
201712230SAC,"['Jason Goldenberg', 'Ed Malloy', 'Rodney Mott']",17583
201712230TOR,"['James Capers Jr.', 'Tyler Ford', 'Jacyn Goble']",19800
201712230UTA,"['Derek Richardson', 'Derrick Stafford', 'Josh Tiven']",18306
201712230WAS,"['Karl Lane', 'Mark Lindsay', 'C.J. Washington']",17218
201712250BOS,"['Matt Boland', 'Scott Foster', 'Scott Wall']",18624
201712250GSW,"['Derrick Stafford', 'Leon Wood', 'Gary Zielinski']",19596
201712250LAL,"['Bennie Adams', 'Tony Brothers', 'Derek Richardson']",18997
201712250NYK,"['Marat Kogut', 'Mark Lindsay', 'Zach Zarba']",19812
201712250OKC,"['Nick Buchert', 'Scott Twardoski', 'Tom Washington']",18203
201712260DAL,"['Pat Fraher', 'Michael Smith', 'Scott Twardoski']",20005
201712260DEN,"['Marc Davis', 'Mitchell Ervin', 'Tre Maddox']",17104
201712260DET,"['Curtis Blair', 'Eric Dalen', 'Scott Foster']",20491
201712260LAC,"['Kevin Cutler', 'Ron Garretson', 'Bill Kennedy']",16393
201712260MIA,"['Brent Barnaky', 'Lauren Holtkamp-Sterling', 'Eric Lewis']",19600
201712260MIL,"['Tyler Ford', 'Ed Malloy', 'Vladimir Voyard-Tadal']",18717
201712260PHO,"['Mark Ayotte', 'Justin Van Duyne', 'James Williams']",17105
201712260SAS,"['Derrick Collins', 'David Guthrie', 'Dedric Taylor']",18492
201712270ATL,"['J.B. DeRosa', 'Tyler Ford', 'Sean Wright']",15763
201712270CHI,"['Matt Boland', 'Tony Brown', 'Aaron Smith']",21883
201712270CHO,"['Kane Fitzgerald', 'Marat Kogut', 'J.T. Orr']",19611
201712270GSW,"['Sean Corbin', 'Karl Lane', 'Brett Nansel']",19596
201712270IND,"['Ed Malloy', 'Phenizee Ransom', 'Scott Wall']",17923
201712270LAL,"['Ron Garretson', 'Derrick Stafford', 'C.J. Washington']",18997
201712270MIN,"['Nick Buchert', 'James Capers Jr.', 'Haywoode Workman']",18978
201712270NOP,"['Courtney Kirkland', 'Eric Lewis', 'Jonathan Sterling']",16707
201712270OKC,"['Ray Acosta', 'John Goble', 'David Guthrie']",18203
201712270SAC,"['Marc Davis', 'Justin Van Duyne', 'James Williams']",17583
201712280BOS,"['Tony Brothers', 'Mark Lindsay', 'Gediminas Petraitis']",18624
201712280MIL,"['Eric Dalen', 'Matt Myers', 'Zach Zarba']",18717
201712280ORL,"['Jason Goldenberg', 'Tom Washington', 'Gary Zielinski']",18846
201712280POR,"['Brent Barnaky', 'Mike Callahan', 'Mitchell Ervin']",20104
201712280SAS,"['Pat Fraher', 'Michael Smith', 'Scott Twardoski']",18935
201712290CHI,"['Derrick Collins', 'Lauren Holtkamp-Sterling', 'Eric Lewis']",21178
201712290GSW,"['Marc Davis', 'Dedric Taylor', 'Justin Van Duyne']",19596
201712290LAL,"['Brent Barnaky', 'Brett Nansel', 'James Williams']",18997
201712290MIA,"['Kane Fitzgerald', 'J.T. Orr', 'Josh Tiven']",19600
201712290NOP,"['Tony Brown', 'John Goble', 'Haywoode Workman']",16878
201712290OKC,"['Derrick Stafford', 'Ben Taylor', 'Leon Wood']",18203
201712290SAC,"['Sean Corbin', 'Karl Lane', 'C.J. Washington']",17583
201712290TOR,"['Kevin Cutler', 'Bill Kennedy', 'Courtney Kirkland']",19800
201712290WAS,"['Brian Forte', 'Jacyn Goble', 'Ed Malloy']",20356
201712300ATL,"['Kane Fitzgerald', 'Ben Taylor', 'Gary Zielinski']",15877
201712300DEN,"['Ron Garretson', 'Michael Smith', 'Scott Twardoski']",19599
201712300DET,"['Aaron Smith', 'Scott Wall', 'Zach Zarba']",19671
201712300GSW,"['Nick Buchert', 'Mike Callahan', 'Tre Maddox']",19596
201712300NOP,"['Derrick Collins', 'J.T. Orr', 'Tom Washington']",16947
201712300ORL,"['Tony Brothers', 'Derek Richardson', 'Kevin Scott']",18846
201712300UTA,"['Mark Ayotte', 'C.J. Washington', 'Sean Wright']",18306
201712310BOS,"['Tony Brown', 'Brian Forte', 'Haywoode Workman']",18624
201712310HOU,"['Tyler Ford', 'John Goble', 'Leon Wood']",18179
201712310IND,"['J.B. DeRosa', 'Bill Kennedy', 'Marat Kogut']",17923
201712310LAC,"['Sean Corbin', 'Karl Lane', 'Justin Van Duyne']",17348
201712310OKC,"['Marc Davis', 'Dedric Taylor', 'Josh Tiven']",18203
201712310PHO,"['Nick Buchert', 'Jonathan Sterling', 'Sean Wright']",16983
201712310SAC,"['Brent Barnaky', 'Mitchell Ervin', 'Pat Fraher']",17583
201712310WAS,"['Ray Acosta', 'David Guthrie', 'Courtney Kirkland']",20356
201801010BRK,"['Ray Acosta', 'Bill Kennedy', 'Gediminas Petraitis']",16164
201801010CHI,"['Mark Ayotte', 'J.B. DeRosa', 'Ron Garretson']",20860
201801010MIN,"['Jacyn Goble', 'David Guthrie', 'Michael Smith']",18978
201801010TOR,"['Ed Malloy', 'Derek Richardson', 'Gary Zielinski']",19800
201801020CLE,"['Jason Goldenberg', 'Kevin Scott', 'Bill Spooner']",20562
201801020LAC,"['Lauren Holtkamp-Sterling', 'Eric Lewis', 'Sean Wright']",15711
201801020NYK,"['Kevin Cutler', 'Kane Fitzgerald', 'Josh Tiven']",19812
201801020PHO,"['Brent Barnaky', 'James Capers Jr.', 'Aaron Smith']",15921
201801020SAC,"['Nick Buchert', 'Tre Maddox', 'Zach Zarba']",17583
201801030BOS,"['Ed Malloy', 'Dedric Taylor', 'Josh Tiven']",18624
201801030BRK,"['Matt Boland', 'Tony Brothers', 'Derek Richardson']",16215
201801030CHI,"['Curtis Blair', 'Kevin Scott', 'Tom Washington']",20056
201801030DAL,"['Scott Foster', 'Gediminas Petraitis', 'Aaron Smith']",20212
201801030DEN,"['Brian Forte', 'Pat Fraher', 'Jacyn Goble']",14079
201801030LAL,"['Lauren Holtkamp-Sterling', 'Eric Lewis', 'Zach Zarba']",18997
201801030MIA,"['Tony Brown', 'Tyler Ford', 'James Williams']",19600
201801030MIL,"['Ron Garretson', 'Michael Smith', 'Justin Van Duyne']",15613
201801030ORL,"['Sean Corbin', 'Courtney Kirkland', 'Scott Twardoski']",18588
201801030PHI,"['Marc Davis', 'Marat Kogut', 'Brett Nansel']",20642
201801030UTA,"['Rodney Mott', 'Leroy Richardson', 'Leon Wood']",18306
201801030WAS,"['Mark Ayotte', 'Ken Mauer', 'Ben Taylor']",17206
201801040HOU,"['Bennie Adams', 'Karl Lane', 'Sean Wright']",18055
201801040LAC,"['James Capers Jr.', 'J.T. Orr', 'Gary Zielinski']",19068
201801050BOS,"['Mitchell Ervin', 'Kane Fitzgerald', 'Ben Taylor']",18624
201801050DAL,"['Marat Kogut', 'Ken Mauer', 'Derek Richardson']",20073
201801050DEN,"['Ray Acosta', 'Kevin Cutler', 'Scott Foster']",15557
201801050LAL,"['J.T. Orr', 'Gediminas Petraitis', 'Bill Spooner']",18997
201801050MEM,"['Tony Brown', 'Bill Kennedy', 'Aaron Smith']",16988
201801050MIA,"['Curtis Blair', 'Nick Buchert', 'Marc Davis']",19600
201801050MIL,"['Mark Ayotte', 'Pat Fraher', 'David Guthrie']",18717
201801050PHI,"['Sean Corbin', 'Tre Maddox', 'Tom Washington']",20592
201801050POR,"['Brian Forte', 'Lauren Holtkamp-Sterling', 'Zach Zarba']",19393
201801050SAS,"['Ron Garretson', 'Leroy Richardson', 'James Williams']",18501
201801060BRK,"['Brent Barnaky', 'Pat Fraher', 'Brett Nansel']",17732
201801060DET,"['Matt Boland', 'Ed Malloy', 'Justin Van Duyne']",18046
201801060IND,"['Tony Brothers', 'David Guthrie', 'Ben Taylor']",17923
201801060LAC,"['Tyler Ford', 'John Goble', 'Haywoode Workman']",19068
201801060MIN,"['Bennie Adams', 'Karl Lane', 'Dedric Taylor']",18978
201801060ORL,"['Nick Buchert', 'Eric Lewis', 'Jonathan Sterling']",18997
201801060SAC,"['Gediminas Petraitis', 'Josh Tiven', 'Gary Zielinski']",17583
201801060WAS,"['Rodney Mott', 'Kevin Scott', 'Leon Wood']",18762
201801070DAL,"['Tony Brown', 'Mitchell Ervin', 'Ron Garretson']",20171
201801070LAL,"['Mark Ayotte', 'Marat Kogut', 'Josh Tiven']",18997
201801070MIA,"['James Capers Jr.', 'J.B. DeRosa', 'Michael Smith']",19600
201801070PHO,"['Ray Acosta', 'Kevin Cutler', 'Scott Foster']",18055
201801070POR,"['Tyler Ford', 'John Goble', 'Haywoode Workman']",19393
201801080BRK,"['Bennie Adams', 'Eric Lewis', 'Dedric Taylor']",13681
201801080CHI,"['Brent Barnaky', 'Marc Davis', 'C.J. Washington']",17462
201801080GSW,"['Bill Kennedy', 'Marat Kogut', 'Derek Richardson']",19596
201801080IND,"['Nick Buchert', 'Brett Nansel', 'Sean Wright']",14670
201801080LAC,"['Ray Acosta', 'Kevin Cutler', 'Scott Foster']",14624
201801080MIN,"['Lauren Holtkamp-Sterling', 'Kevin Scott', 'Tom Washington']",18978
201801080NOP,"['Curtis Blair', 'Brian Forte', 'Mark Lindsay']",12874
201801080SAC,"['Ken Mauer', 'J.T. Orr', 'Ben Taylor']",17583
201801090DAL,"['Sean Corbin', 'Jason Phillips', 'Leroy Richardson']",19306
201801090LAL,"['Kane Fitzgerald', 'Tyler Ford', 'Haywoode Workman']",18997
201801090OKC,"['Karl Lane', 'Ed Malloy', 'Justin Van Duyne']",18203
201801090TOR,"['Matt Boland', 'Tony Brown', 'Scott Twardoski']",19800
201801100BRK,"['Derrick Collins', 'Jason Goldenberg', 'Bill Spooner']",13457
201801100CHO,"['Bennie Adams', 'Curtis Blair', 'Brian Forte']",14462
201801100DEN,"['Mark Lindsay', 'Kevin Scott', 'Aaron Smith']",14182
201801100GSW,"['Ken Mauer', 'Ben Taylor', 'Josh Tiven']",19596
201801100HOU,"['Scott Foster', 'Courtney Kirkland', 'Dedric Taylor']",18055
201801100IND,"['Mitchell Ervin', 'Gediminas Petraitis', 'Derrick Stafford']",14540
201801100MEM,"['Marc Davis', 'Brett Nansel', 'Michael Smith']",14312
201801100MIL,"['Mike Callahan', 'Tre Maddox', 'Scott Wall']",14543
201801100MIN,"['Mark Ayotte', 'Marat Kogut', 'Sean Wright']",18978
201801100NYK,"['Matt Boland', 'Scott Twardoski', 'James Williams']",19812
201801100WAS,"['Brent Barnaky', 'Tony Brothers', 'Lauren Holtkamp-Sterling']",15640
201801110LAL,"['Mark Lindsay', 'Aaron Smith', 'Tom Washington']",18997
201801110PHI,"['David Guthrie', 'Rodney Mott', 'Leon Wood']",19078
201801110SAC,"['Bill Kennedy', 'Derek Richardson', 'Kevin Scott']",17583
201801110TOR,"['Curtis Blair', 'James Capers Jr.', 'Derrick Collins']",19923
201801120ATL,"['Tony Brown', 'Leroy Richardson', 'Michael Smith']",13093
201801120CHO,"['Nick Buchert', 'Jason Goldenberg', 'Bill Spooner']",14848
201801120DEN,"['Mark Ayotte', 'Kane Fitzgerald', 'Justin Van Duyne']",15607
201801120IND,"['Bennie Adams', 'Jacyn Goble', 'Jason Phillips']",17923
201801120MIL,"['Kevin Cutler', 'Lauren Holtkamp-Sterling', 'Ed Malloy']",18717
201801120MIN,"['Mike Callahan', 'Tre Maddox', 'Jonathan Sterling']",18978
201801120NOP,"['Sean Corbin', 'Mitchell Ervin', 'Derrick Stafford']",17003
201801120PHO,"['Ken Mauer', 'Derek Richardson', 'Josh Tiven']",18055
201801120WAS,"['Ron Garretson', 'J.T. Orr', 'Sean Wright']",18171
201801130CHI,"['Ray Acosta', 'Kevin Cutler', 'Ed Malloy']",21613
201801130CHO,"['John Goble', 'Dedric Taylor', 'Haywoode Workman']",19624
201801130DAL,"['Matt Boland', 'Marc Davis', 'Kevin Scott']",20209
201801130LAC,"['Mark Lindsay', 'Aaron Smith', 'Tom Washington']",16656
201801130SAS,"['Tyler Ford', 'Karl Lane', 'Eric Lewis']",18418
201801130TOR,"['Tony Brothers', 'Courtney Kirkland', 'Gediminas Petraitis']",20078
201801130WAS,"['J.B. DeRosa', 'Scott Wall', 'James Williams']",18354
201801140MIA,"['Bill Kennedy', 'Ben Taylor', 'C.J. Washington']",19600
201801140MIN,"['Curtis Blair', 'Nick Buchert', 'James Capers Jr.']",14739
201801140NYK,"['Ron Garretson', 'Bill Spooner', 'Justin Van Duyne']",19812
201801140PHO,"['Mark Ayotte', 'Kane Fitzgerald', 'Brett Nansel']",17091
201801150ATL,"['Sean Corbin', 'Jason Phillips', 'Derek Richardson']",15806
201801150BRK,"['Ray Acosta', 'Brian Forte', 'Karl Lane']",17732
201801150CHI,"['J.T. Orr', 'Scott Wall', 'Sean Wright']",20546
201801150CLE,"['Scott Foster', 'Marat Kogut', 'Eric Lewis']",20562
201801150DET,"['Tyler Ford', 'Lauren Holtkamp-Sterling', 'Derrick Stafford']",17200
201801150LAC,"['Bennie Adams', 'Mike Callahan', 'Michael Smith']",17622
201801150MEM,"['Brent Barnaky', 'Scott Twardoski', 'James Williams']",17794
201801150OKC,"['Matt Boland', 'Ken Mauer', 'Gediminas Petraitis']",18203
201801150PHI,"['John Goble', 'Leroy Richardson', 'Dedric Taylor']",20637
201801150UTA,"['Mark Lindsay', 'Aaron Smith', 'Tom Washington']",18306
201801150WAS,"['Marc Davis', 'Courtney Kirkland', 'Haywoode Workman']",19607
201801160BOS,"['Lauren Holtkamp-Sterling', 'Kevin Scott', 'Sean Wright']",18624
201801160DEN,"['Tony Brothers', 'Rodney Mott', 'Jonathan Sterling']",14097
201801160ORL,"['Brent Barnaky', 'Mitchell Ervin', 'Bill Kennedy']",18589
201801160POR,"['Kevin Cutler', 'Jacyn Goble', 'Ed Malloy']",18604
201801170ATL,"['Bill Kennedy', 'Karl Lane', 'J.T. Orr']",10894
201801170BRK,"['Scott Foster', 'Ben Taylor', 'Justin Van Duyne']",15425
201801170CHI,"['Mark Ayotte', 'Ron Garretson', 'Scott Twardoski']",21372
201801170CHO,"['Derrick Collins', 'C.J. Washington', 'Zach Zarba']",11528
201801170LAC,"['Jacyn Goble', 'Ed Malloy', 'Gary Zielinski']",15043
201801170MEM,"['J.B. DeRosa', 'Pat Fraher', 'Derrick Stafford']",12885
201801170MIL,"['Marat Kogut', 'Jason Phillips', 'Dedric Taylor']",16695
201801170OKC,"['James Capers Jr.', 'Courtney Kirkland', 'Leon Wood']",18203
201801170SAC,"['Mike Callahan', 'Kevin Cutler', 'Michael Smith']",17583
201801170TOR,"['Derek Richardson', 'Scott Wall', 'James Williams']",19800
201801180BOS,"['Sean Corbin', 'Aaron Smith', 'Bill Spooner']",18624
201801180CLE,"['Kane Fitzgerald', 'David Guthrie', 'Scott Twardoski']",20562
201801180HOU,"['Pat Fraher', 'Tre Maddox', 'Zach Zarba']",18055
201801180POR,"['Tony Brothers', 'Rodney Mott', 'Jonathan Sterling']",19071
